#,courseNo,genEdType,isInter,isThOrInter,courseNameEn,courseNameTh,courseDescTh,courseDescEn
1,0123101,Humanities,,,PARAGRAPH WRITING,"การเขียนย่อหน้า  ",เรียนรู้โครงสร้างของบทเขียน ความสำคัญของย่อหน้า การแบ่งย่อหน้า การลำดับความคิด รวมไปถึงการฝึกฝนทักษะการเขียนตั้งแต่การเขียนใจความสำคัญ การเขียนขยายใจความสำคัญ การเชื่อมโยงความคิด รวมถึงการเขียนงานประเภทต่างๆให้เหมาะสมกับเจตนาของผู้เขียนและระดับของผู้อ่าน,"Organizing ideas in paragraph writing; selecting appropriate vocabulary, connectives and phrases; using Thai language appropriate for writing objectives and readers’abilities."
2,0123104,Humanities,,,UNIVERSITY LEVEL OF THAI READING,"การอ่านภาษาไทยระดับอุดมศึกษา  ",หลักการอ่าน ระดับของการอ่าน การจับใจความ การตีความบทอ่านประเภทต่างๆ ทั้งบทอ่านทั่วไป บทอ่านเชิงวิชาการ ตาราวง แผนภูมิ หรือรูปภาพ,"Reading principles; levels of reading; main idea finding; interpretation of general texts, academic texts, tables, figures and illustrations."
3,0123105,Humanities,,,THAI WRITING IN WORKPLACE,"การเขียนภาษาไทยในที่ทำงาน  ",หลักเกณฑ์ รูปแบบและวิธีการเขียนงานเอกสารภาษาไทยประเภทต่างๆ ที่ใช้ทั่วไปในที่ทำงาน การใช้ภาษาที่ถูกต้องและเหมาะสมกับประเภทของเอกสาร ฝึกการเขียนเอกสารในระบบการทำงานสำนักงาน,"Principles, formats and methods of writing Thai document types ; correct use of the Thai language appropriate for each type of document Practice in document writing in accordance with work system in the workplace."
4,0201102,Interdisciplinary,,,THAI WISDOM,ภูมิปัญญาไทย,การศึกษาด้วยตนเอง; วิธีการวิเคราะห์และสังเคราะห์ความรู้ที่ได้จากการศึกษากิจกรรม ชิ้นงานและแนวคิดที่เกิดจากภูมิปัญญาของคนไทยในอดีตและปัจจุบัน,"Self-directed learning; of analyzing and synthesizing knowledge gained from studying activities, works and ideas from thai wisdom of the past and the present."
5,0201103,Interdisciplinary,,,OUR CHULALONGKORN UNIVERSITY,จุฬาฯ ของเรา,ประวัติความเป็นมาของจุฬาลงกรณ์มหาวิทยาลัย บทบาทของมหาวิทยาลัยต่อสังคมตั้งแต่อดีตถึงปัจจุบัน บทบาทหน้าที่ของบุคลากรและนิสิตในด้านต่าง ๆ ต่อคณะ มหาวิทยาลัย และชุมชน ความสัมพันธ์กับภาคีต่าง ๆ ในระดับประเทศและระดับโลก ทักษะการคิด การสื่อสาร และการเรียนรู้ร่วมกัน,"History of Chulalongkorn University; role of the university in society from past to present; role of staff and students in different aspects; faculty, university, and community; relationship among organizations and other institutions, at the national and international; levels thinking, communication and collective learning skills."
6,0201105,Humanities,,,CU SMART BUDDHIST GRADUATES,พุทธบัณฑิตจุฬาสง่างาม,ประมวลแนวคำสอนหมวดใหญ่ๆ เกี่ยวกับพุทธศาสนาในประเทศไทย หลักธรรมพื้นฐานของชาวพุทธ หลักธรรมเพื่อความเป็นบัณฑิตที่มีคุณค่าของแผ่นดิน พุทธประวัติโดยสังเขป พุทธธรรม แนววิทยาศาสตร์ คัมภีร์สำคัญในพระพุทธศาสนา หลักสมถภาวนาและวิปัสสนาภาวนาในพระพุทธศาสนา พิธีกรรมทั่วไปทางพุทธศาสนา,
7,0201106,Interdisciplinary,,,ART AND SCIENCE OF FINDING HAPPINESS,ศิลป์และศาสตร์สร้างสุข,ความหมาย คุณลักษณะและบ่อเกิดของความสุขตามมุมมองทางจิตวิทยา สังคมวิทยา ปรัชญา และศาสนา ความสำคัญของความสุขต่อปัจเจกบุคคลและสังคม คุณลักษณะของความสุขประเภทต่าง ๆ ปัจจัยที่ส่งผลต่อความสุข วิธีแสวงหาความสุขที่ยั่งยืนจากแหล่งต่าง ๆ,"Meanings, characteristics and origins of happiness according to psychological, sociological, philosophical, and religious perspectives; importance of happiness to the individual and the society; characteristics of different types of happiness; factors affecting happiness; how to derive long lasting happiness from different sources."
8,0201107,Interdisciplinary,,1,LEARNING THROUGH STUDENT ACTIVITIES,การเรียนรู้ผ่านกิจกรรมนิสิต,แนวคิด จุดหมายและความสำคัญของการทำกิจกรรมนิสิต กระบวนการแสวงหา และสังเคราะห์ความรู้อย่างเป็นระบบจากแหล่งความรู้ต่าง ๆ รวมทั้งกิจกรรมนิสิต การออกแบบโครงงาน วางแผน จัดทำงบประมาณ และประเมินผลโครงการ การดำเนินงาน ประเมินผลการดำเนินงาน และนำเสนอผลการดำเนินงานกิจกรรมนิสิต,"Concept, goal and advantages of student activities; process of seeking and synthesizing knowledge from various sources including from student activities; project design, planning, budgeting and evaluation; implementation, evaluation and presentation of projects on student activities."
9,0201108,Interdisciplinary,,,FAMILY RELATIONS,ครอบครัวสัมพันธ์,ความหมายและความสำคัญของครอบครัวในมุมมองด้านสังคมศาสตร์ มนุษยศาสตร์ และวิทยาศาสตร์ ปัจจัยเอื้อต่อความสัมพันธ์ในครอบครัว กระบวนการสร้างสัมพันธภาพในครอบครัว การวิเคราะห์และคลี่คลายปัญหาครอบครัวจากมุมมองแบบองค์รวม,"Meaning and importance of family from perspectives of social science, humanities and sciences; supporting factors of family relations; processes and strategies creating good relationships in family; a holistic approach for analyzing and solving family problems."
10,0201109,Interdisciplinary,,1,INTRODUCTION TO EU INTEGRATION,บูรณาการสหภาพยุโรปเบื้องต้น,แนวคิดและพัฒนาการของการบูรณาการยุโรปตั้งแต่ช่วงสงครามโลกครั้งที่ 2 จนถึงปัจจุบัน ปัญหา ความขัดแย้งต่าง ๆ ที่ส่งผลต่อการบูรณาการ ความร่วมมือ ผลกระทบและกลยุทธ์ด้านวัฒนธรรม การเมือง เศรษฐกิจ สังคม วิทยาศาสตร์และเทคโนโลยี ภายในกลุ่มสหภาพยุโรป และระหว่างสหภาพยุโรปกับไทย ประเทศในกลุ่มอาเซียนและเอเชีย,"Concepts and development of European integration from post-war II period to present; conflicts affecting the integration; cultural, political, economic, social, scientific and technological cooperation, impact and strategies among EU member states and between EU and Thailand, ASEAN members and Asia."
