courseNo,abbrName,sections,genEdType,studyProgram
0123101,PARAGRAP WRITING,1-26,HU,S
0123104,UNIV THAI READING,1-6,HU,S
0123105,THAI WRIT WORK,1,HU,S
0201211,MEDITAT LIFE DEV,2,HU,S
0201212,SP ETHICS,1,HU,S
0296110,HU ECO GLOBAL,1,HU,S
2200183,THAI CIV,1,HU,S
2200330,TIPITAKA/LIFE,1,HU,S
2200387,ARCHAEO THAI,2,HU,S
2200396,REL RIT TH SOC,1,HU,S
2206101,RES ACAD REP WRIT,1,HU,S
2206249,SYS THINK HUM,1,HU,S
2207103,PHILOS LOGIC,"2,4",HU,S
2207203,PHILOS/FILMS,2,HU,S
2207361,AESTHETICS,2,HU,S
2207474,CHINESE PHILOS,1,HU,S
2207478,SP TOP ETHICS,1,HU,S
2210221,CRIME FICT/FILM,2,HU,S
2210314,JUV LIT,1,HU,S
2210420,MAJOR WRITER WORK,2,HU,S
2221433,BUDDHIST TEACHING,1-2,HU,S
2221485,BUDDHIST CIV,1,HU,S
2223243,JAPAN TODAY,1,HU,S
2226001,INTRO VIET CULTURE,1,HU,S
2235320,CONTEMP PORT BRAZ,1,HU,S
2244151,INTRO CAMBO CULTURE,1,HU,S
2296111,CREAT LRNG SPACE,1,HU,S
2296200,HUMAN LANG,1,HU,S
2296228,THAI FOLK ART,1,HU,S
2296352,21C BUDDHISTS,1,HU,S
2501191,HIST ART ARCH,1,HU,S
2501295,INTRO DESIGN,1,HU,S
2503469,URBAN LIFE,1,HU,S
2504102,HEALG ART/LDSCP,1,HU,S
2722288,DHAMMA/SELF,1,HU,S
2736210,AES APP,1,HU,S
2737110,MUS APPRECIATION,1,HU,S
3501217,EAR MOD ART,1,HU,S
3503101,CL MUS SCRN,1,HU,S
3503111,INTRO CLASSIC MUS,1,HU,S
0201106,ART SCI FIND HAP,1,IN,S
0201107,LRN STUD ACT,1-2,IN,S
0201108,FAMILY RELATIONS,1,IN,S
0201109,INTRO EU INTEGRAT,1,IN,S
0201121,LIFE REFL FILM,1-2,IN,S
0201122,MGT PUB DISASTER,1,IN,S
0201141,COAST ENV,1,IN,S
0201151,OUR ENVIRONMENT,1,IN,S
0201153,WASTE MANAGEMENT,1,IN,S
0201201,IDEAL GRADUATE I,2,IN,S
0201203,IDEAL GRADUATE III,1,IN,S
0201204,IDEAL GRADUATE IV,1,IN,S
0201210,MAT MGT GREEN,1,IN,S
